TenureGroup,用户数,流失人数,流失率,平均订单数,订单数中位数,平均返现金额,平均满意度,平均App使用时长,平均距上次下单天数
0-1年,1198,621,0.5183639398998331,2.3580968280467447,2.0,153.3206427378965,3.2136894824707847,2.9757929883138563,3.2203672787979967
1-5年,769,68,0.08842652795838751,2.6553966189856957,2.0,167.30594278283485,3.0,3.0052015604681404,4.47074122236671
5-10年,1391,147,0.10567936736161035,2.6412652767792957,2.0,160.17598849748381,2.9985621854780735,2.8813803019410495,4.271028037383178
10-15年,892,54,0.06053811659192825,3.4663677130044843,2.0,187.1097869955157,3.0493273542600896,2.9024663677130045,5.168161434977579
15年以上,1380,58,0.042028985507246375,3.6536231884057973,2.0,214.29168840579712,3.0565217391304347,2.934057971014493,5.260144927536232
